59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    10.19      0.00        1     0.00     0.00  Time#at
  0.00    10.19      0.00        7     0.00     0.00  Gem::Requirement#default
  0.00    10.19      0.00       10     0.00     0.00  Gem::Specification#array_attribute
  0.00    10.19      0.00        1     0.00     0.00  Gem::Specification#read_only
  0.00    10.19      0.00        5     0.00     0.00  Gem::Specification#attribute_alias_singular
  0.00    10.19      0.00       14     0.00     0.00  Module#method_removed
  0.00    10.19      0.00       14     0.00     0.00  Module#remove_method
  0.00    10.19      0.00       14     0.00     0.00  Gem::Specification#overwrite_accessor
  0.00    10.19      0.00        3     0.00     0.00  ENV.[]
  0.00    10.19      0.00        5     0.00     0.00  Array#compact
  0.00    10.19      0.00        2     0.00     0.00  Time#to_i
  0.00    10.19      0.00        1     0.00     0.00  Gem.set_home
  0.00    10.19      0.00        1     0.00     0.00  Gem.dir
  0.00    10.19      0.00        1     0.00     0.00  Gem.set_paths
  0.00    10.19      0.00        1     0.00     0.00  Gem.path
  0.00    10.19      0.00      223     0.00     0.00  File#join
  0.00    10.19      0.00        2     0.00     0.00  Array#collect
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#installed_spec_directories
  0.00    10.19      0.00       70     0.00     0.00  Hash#each
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#initialize
  0.00    10.19      0.00        1     0.00     0.00  Hash#clear
  0.00    10.19      0.00        1     0.00     0.00  Dir#glob
  0.00    10.19      0.00      136     0.00     0.00  File#file?
  0.00    10.19      0.00      536     0.00     0.00  String#initialize_copy
  0.00    10.19      0.00      137     0.00     0.00  Fixnum#divmod
  0.00    10.19      0.00        1     0.00     0.00  Time#now
  0.00    10.19      0.00        1     0.00     0.00  Time#initialize
  0.00    10.19      0.00      149     0.00     0.00  Array#join
  0.00    10.19      0.00      134     0.00     0.00  Kernel.binding
  0.00    10.19      0.00       22     0.00     0.00  Hash#keys
  0.00    10.19      0.00        1     0.00     0.00  Module#autoload
  0.00    10.19      0.00        2     0.00     0.00  String#end_with?
  0.00    10.19      0.00        1     0.00     0.00  Exception#message
  0.00    10.19      0.00      268     0.00     0.00  Kernel.initialize_copy
  0.00    10.19      0.00      134     0.00     5.30  Gem::Specification#assign_defaults
  0.00    10.19      0.00      136     0.00     0.00  Kernel.block_given?
  0.00    10.19      0.00      749     0.00     0.01  Kernel.respond_to?
  0.00    10.19      0.00        1     0.00     0.00  Exception#to_s
  0.00    10.19      0.00      134     0.00     0.00  Gem::Version#prerelease?
  0.00    10.19      0.00        1     0.00     0.00  Exception#set_backtrace
  0.00    10.19      0.00      588     0.00     0.00  Kernel.Array
  0.00    10.19      0.00      131     0.00     0.00  Gem::Specification#authors=
  0.00    10.19      0.00        1     0.00     0.00  Exception#backtrace
  0.00    10.19      0.00        1     0.00     0.00  Exception#exception
  0.00    10.19      0.00        1     0.00     0.00  Exception#initialize
  0.00    10.19      0.00      134     0.00     0.00  String#strip
  0.00    10.19      0.00      270     0.00     0.00  String#gsub
  0.00    10.19      0.00       76     0.00     0.00  Gem::Specification#test_files=
  0.00    10.19      0.00       18     0.00     0.00  Kernel.lambda
  0.00    10.19      0.00        1     0.00     0.00  Encoding#find
  0.00    10.19      0.00      276     0.00     0.22  Gem::Version#segments
  0.00    10.19      0.00      277     0.00     0.00  Array#size
  0.00    10.19      0.00      141     0.00     0.00  Fixnum#>
  0.00    10.19      0.00      274     0.00     0.00  Fixnum#<=
  0.00    10.19      0.00      551     0.00     0.00  Array#[]
  0.00    10.19      0.00        3     0.00     0.00  Forwardable.def_instance_delegators
  0.00    10.19      0.00       38     0.00     0.00  Forwardable.def_instance_delegator
  0.00    10.19      0.00      134     0.00     0.90  Comparable.>=
  0.00    10.19      0.00       45     0.00     0.00  Regexp#quote
  0.00    10.19      0.00        6     0.00     0.00  Array#delete
  0.00    10.19      0.00      134     0.00    10.82  Gem::Specification#load
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.each_with_index
  0.00    10.19      0.00      134     0.00     0.00  Gem::SourceIndex#add_spec
  0.00    10.19      0.00        8     0.00     0.00  Gem::Specification#requirements=
  0.00    10.19      0.00        1     0.00     0.00  Module#attr_writer
  0.00    10.19      0.00      380     0.00     0.00  Array#last
  0.00    10.19      0.00      337     0.00     0.00  Array#pop
  0.00    10.19      0.00       31     0.00     0.00  Module#define_method
  0.00    10.19      0.00      359     0.00     0.00  Array#include?
  0.00    10.19      0.00        7     0.00     0.00  String#+
  0.00    10.19      0.00      337     0.00     0.00  Gem::Specification#dependencies
  0.00    10.19      0.00        7     0.00     0.00  String#downcase
  0.00    10.19      0.00        8     0.00     1.25  Date#once
  0.00    10.19      0.00       86     0.00     0.00  Gem::Specification#extra_rdoc_files=
  0.00    10.19      0.00       80     0.00     0.00  Gem::Specification#rdoc_options=
  0.00    10.19      0.00      213     0.00     0.89  Gem::Specification#add_development_dependency
  0.00    10.19      0.00       45     0.00     0.00  Gem::Specification#executables=
  0.00    10.19      0.00       22     0.00     0.00  Gem::Specification#extensions=
  0.00    10.19      0.00        6     0.00     0.00  Gem::Specification#licenses=
  0.00    10.19      0.00       11     0.00     0.00  String#===
  0.00    10.19      0.00        2     0.00     0.00  Array#shift
  0.00    10.19      0.00        8     0.00     0.00  Regexp#===
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#initialize
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#new
  0.00    10.19      0.00        3     0.00     0.00  Gem::Platform#to_a
  0.00    10.19      0.00        3     0.00     0.00  Gem::Platform#to_s
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#==
  0.00    10.19      0.00        2     0.00     0.00  String#to_str
  0.00    10.19      0.00        1     0.00  1470.00  Array#reverse_each
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#load_gems_in
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#refresh!
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#from_gems_in
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#from_installed_gems
  0.00    10.19      0.00        2     0.00   745.00  Gem.source_index
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#each
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.map
  0.00    10.19      0.00       66     0.00     0.00  Module#module_eval
  0.00    10.19      0.00      945     0.00     0.00  Fixnum#zero?
  0.00    10.19      0.00      385     0.00     0.00  Symbol#to_s
  0.00    10.19      0.00       75     0.00     0.00  Fixnum#to_s
  0.00    10.19      0.00        1     0.00  1540.00  Gem::GemPathSearcher#init_gemspecs
  0.00    10.19      0.00      270     0.00     0.00  File#dirname
  0.00    10.19      0.00      135     0.00     0.00  File#expand_path
  0.00    10.19      0.00      135     0.00     0.00  Gem::Specification#installation_path
  0.00    10.19      0.00      376     0.00     0.00  Kernel.object_id
  0.00    10.19      0.00      135     0.00     0.15  Gem::Specification#full_gem_path
  0.00    10.19      0.00        1     0.00     0.00  Numeric#integer?
  0.00    10.19      0.00        1     0.00  1580.00  Gem::GemPathSearcher#initialize
  0.00    10.19      0.00        1     0.00  1580.00  Gem.searcher
  0.00    10.19      0.00     1020     0.00     0.00  Fixnum#**
  0.00    10.19      0.00       22     0.00     0.00  Integer#integer?
  0.00    10.19      0.00        1     0.00     0.00  Array#uniq
  0.00    10.19      0.00        1     0.00     0.00  Gem.suffixes
  0.00    10.19      0.00       85     0.00     0.00  Gem.suffix_pattern
  0.00    10.19      0.00       85     0.00     0.00  Dir#[]
  0.00    10.19      0.00        1     0.00     0.00  Float#-@
  0.00    10.19      0.00        4     0.00     0.00  Module#protected
  0.00    10.19      0.00      124     0.00     0.00  BasicObject#!
  0.00    10.19      0.00       85     0.00     0.12  Gem::GemPathSearcher#matching_file?
  0.00    10.19      0.00       24     0.00     0.83  Enumerable.find
  0.00    10.19      0.00        1     0.00    20.00  Gem::GemPathSearcher#find
  0.00    10.19      0.00       49     0.00     0.00  Kernel.is_a?
  0.00    10.19      0.00        1     0.00     0.00  Gem::Dependency#requirement
  0.00    10.19      0.00        1     0.00     0.00  Regexp#escape
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#all_gems
  0.00    10.19      0.00        2     0.00     0.00  Hash#values
  0.00    10.19      0.00        1     0.00     0.00  Comparable.==
  0.00    10.19      0.00        1     0.00     0.00  Proc#call
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.all?
  0.00    10.19      0.00        1     0.00     0.00  Gem::Requirement#satisfied_by?
  0.00    10.19      0.00        2     0.00     0.00  Proc#yield
  0.00    10.19      0.00        2     0.00     0.00  Hash#default
  0.00    10.19      0.00        1     0.00     0.00  Gem::Platform#local
  0.00    10.19      0.00        1     0.00     0.00  Gem.platforms
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.any?
  0.00    10.19      0.00        1     0.00     0.00  Gem::Platform#match
  0.00    10.19      0.00        1     0.00     0.00  Gem::Specification#sort_obj
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.sort_by
  0.00    10.19      0.00        1     0.00    10.00  Gem::SourceIndex#search
  0.00    10.19      0.00        1     0.00     0.00  Gem::Specification#conflicts
  0.00    10.19      0.00        6     0.00     0.00  Gem::Dependency#type
  0.00    10.19      0.00        1     0.00     0.00  Gem::Specification#runtime_dependencies
  0.00    10.19      0.00       16     0.00     0.00  Hash#delete
  0.00    10.19      0.00        1     0.00     0.00  Array#index
  0.00    10.19      0.00        1     0.00     0.00  Gem.load_path_insert_index
  0.00    10.19      0.00        1     0.00     0.00  Array#insert
  0.00    10.19      0.00        1     0.00    10.00  Gem.activate
  0.00    10.19      0.00        1     0.00  1610.00  Gem.try_activate
  0.00    10.19      0.00        2     0.00     0.00  BasicObject#!=
  0.00    10.19      0.00        1     0.00     0.00  Comparable.<=
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri.is_2_6_16?
  0.00    10.19      0.00       16     0.00     0.00  Fixnum#<<
  0.00    10.19      0.00        3     0.00     0.00  Fixnum#|
  0.00    10.19      0.00        2     0.00     0.00  Module#constants
  0.00    10.19      0.00       19     0.00     0.00  Symbol#to_sym
  0.00    10.19      0.00       50     0.00     0.00  Symbol#downcase
  0.00    10.19      0.00       32     0.00     0.00  Module#class_eval
  0.00    10.19      0.00       29     0.00     0.00  Module#method_undefined
  0.00    10.19      0.00       23     0.00     0.43  Module#undef_method
  0.00    10.19      0.00        2     0.00     0.00  BasicObject#initialize
  0.00    10.19      0.00        1     0.00     0.00  Mutex#initialize
  0.00    10.19      0.00        2     0.00     0.00  File#initialize
  0.00    10.19      0.00        1     0.00     0.00  Kernel.open
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::ParseOptions#initialize
  0.00    10.19      0.00        1     0.00     0.00  File#path
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Document#initialize
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Document#read_io
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Document#parse
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri.XML
  0.00    10.19      0.00        2     0.00     0.00  Hash#initialize
  0.00    10.19      0.00        3     0.00     0.00  Kernel.hash
  0.00    10.19      0.00        2     0.00     0.00  Nokogiri::XML::Document#decorators
  0.00    10.19      0.00        4     0.00     0.00  Nokogiri::XML::Document#document
  0.00    10.19      0.00       46     0.00     0.00  Nokogiri::XML::Document#decorate
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Node#decorate!
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Document#slop!
  0.00    10.19      0.00        1     0.00     0.00  Nokogiri::XML::Document#implied_xpath_context
  0.00    10.19      0.00       22     0.00     0.00  String#sub
  0.00    10.19      0.00       20     0.00     0.00  Module#==
  0.00    10.19      0.00       20     0.00     0.00  Array#reverse
  0.00    10.19      0.00       40     0.00     0.00  Nokogiri::XML::Document#root
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::Node#namespace_scopes
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::Node#namespaces
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::Node#extract_params
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#new
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#register_namespaces
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#evaluate
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::Node#xpath
  0.00    10.19      0.00       41     0.00     0.00  Nokogiri::XML::NodeSet#length
  0.00    10.19      0.00       20     0.00     0.00  Nokogiri::XML::NodeSet#empty?
  0.00    10.19      0.00       25     0.00     0.00  Nokogiri::XML::NodeSet#[]
  0.00    10.19      0.00       19     0.00     0.00  Nokogiri::XML::NodeSet#first
  0.00    10.19      0.00       20     0.00     0.50  Nokogiri::Decorators::Slop.method_missing
  0.00    10.19      0.00       19     0.00     0.00  Nokogiri::XML::Node#implied_xpath_context
  0.00    10.19      0.00       57     0.00     0.00  Nokogiri::XML::Node#document
  0.00    10.19      0.00       18     0.00     0.00  Nokogiri::XML::Node#text
  0.00    10.19      0.00      208     0.00     0.00  Kernel.nil?
  0.00    10.19      0.00     1016     0.00     0.00  Regexp#match
  0.00    10.19      0.00       16     0.00     0.00  NilClass#nil?
  0.00    10.19      0.00        2     0.00     0.00  Array#+
  0.00    10.19      0.00     3045     0.00     0.00  Rational#*
  0.00    10.19      0.00       17     0.00     0.00  Module#include
  0.00    10.19      0.00       17     0.00     0.00  Module#included
  0.00    10.19      0.00        1     0.00    30.00  Integer#upto
  0.00    10.19      0.00        1     0.00    30.00  Nokogiri::XML::NodeSet#each
  0.00    10.19      0.00        1     0.00    30.00  Enumerable.each_with_object
  0.00    10.19      0.00        4     0.00     0.00  Array#|
  0.00    10.19      0.00        2     0.00  4195.00  Enumerable.inject
  0.00    10.19      0.00        1     0.00     0.00  Kernel.to_enum
  0.00    10.19      0.00        1     0.00     0.00  CSV#rows
  0.00    10.19      0.00        1     0.00     0.00  Hash#key?
  0.00    10.19      0.00        1     0.00     0.00  IO#open
  0.00    10.19      0.00        1     0.00     0.00  Hash#initialize_copy
  0.00    10.19      0.00        1     0.00     0.00  Hash#merge
  0.00    10.19      0.00        1     0.00     0.00  IO#internal_encoding
  0.00    10.19      0.00        1     0.00     0.00  IO#external_encoding
  0.00    10.19      0.00        1     0.00     0.00  CSV#raw_encoding
  0.00    10.19      0.00       24     0.00     0.00  String#encode
  0.00    10.19      0.00        1     0.00     0.00  Kernel.proc
  0.00    10.19      0.00        1     0.00     0.00  String#length
  0.00    10.19      0.00        1     0.00     0.00  IO#pos
  0.00    10.19      0.00       17     0.00     0.00  Module#append_features
  0.00    10.19      0.00       19     0.00     0.00  Encoding#name
  0.00    10.19      0.00      504     0.00     0.00  Array#compact!
  0.00    10.19      0.00        5     0.00     0.00  Regexp#initialize
  0.00    10.19      0.00        5     0.00     0.00  CSV#encode_re
  0.00    10.19      0.00        1     0.00     0.00  IO#rewind
  0.00    10.19      0.00        1     0.00     0.00  CSV#init_separators
  0.00    10.19      0.00        2     0.00     0.00  CSV#escape_re
  0.00    10.19      0.00        1     0.00     0.00  CSV#init_parsers
  0.00    10.19      0.00       31     0.00     0.00  Kernel.extend
  0.00    10.19      0.00        2     0.00     0.00  Kernel.method
  0.00    10.19      0.00        2     0.00     0.00  CSV#init_converters
  0.00    10.19      0.00        1     0.00     0.00  CSV#init_headers
  0.00    10.19      0.00        1     0.00     0.00  CSV#initialize
  0.00    10.19      0.00       31     0.00     0.00  Module#extended
  0.00    10.19      0.00       31     0.00     0.00  Module#extend_object
  0.00    10.19      0.00        2     0.00     0.00  Module#initialize
  0.00    10.19      0.00       29     0.00     0.00  Module#private_class_method
  0.00    10.19      0.00       35     0.00     0.00  Module#alias_method
  0.00    10.19      0.00       65     0.00     0.00  Module#private
  0.00    10.19      0.00     1010     0.00     0.00  Rational#coerce
