59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.19    10.01      0.02        1    20.00    50.00  Array#sort
  0.19    10.03      0.02      336     0.06     0.74  Gem::Specification#add_dependency_with_type
  0.19    10.05      0.02      136     0.15     0.15  IO#read
  0.19    10.07      0.02      502     0.04     0.30  Gem::Requirement#create
  0.19    10.09      0.02     1547     0.01     0.01  Module#method_added
  0.19    10.11      0.02      134     0.15     0.15  Time#local
  0.19    10.13      0.02      139     0.14     0.79  Gem::Version#<=>
  0.19    10.15      0.02     1160     0.02     0.02  Fixnum#-
  0.19    10.17      0.02     1010     0.02     0.04  Rational#==
  0.19    10.19      0.02     2020     0.01     0.01  Rational#floor
  0.19    10.21      0.02    10004     0.00     0.00  Array#initialize
  0.19    10.23      0.02     3048     0.01     0.01  MatchData#[]
  0.09    10.24      0.01     1010     0.01     0.05  Comparable.>
  0.09    10.25      0.01     2695     0.00     0.00  Fixnum#==
  0.09    10.26      0.01     1434     0.01     0.01  Kernel.class
  0.09    10.27      0.01       76     0.13     0.13  Gem::Specification#test_files=
  0.09    10.28      0.01      134     0.07     0.07  Gem::Specification#files=
  0.09    10.29      0.01       20     0.50     0.50  Nokogiri::XML::Node#namespaces
  0.09    10.30      0.01      131     0.08     0.08  Gem::Specification#authors=
  0.09    10.31      0.01      376     0.03     0.03  Kernel.object_id
  0.09    10.32      0.01      149     0.07     0.07  Array#join
  0.09    10.33      0.01      588     0.02     0.02  Kernel.Array
  0.09    10.34      0.01      134     0.07     0.30  Gem::GemPathSearcher#lib_dirs_for
  0.09    10.35      0.01      134     0.07     0.30  Gem::Version#create
  0.09    10.36      0.01      749     0.01     0.01  Kernel.respond_to?
  0.09    10.37      0.01      136     0.07     0.07  Kernel.block_given?
  0.09    10.38      0.01       19     0.53     0.53  Nokogiri::XML::NodeSet#first
  0.09    10.39      0.01       20     0.50     1.50  Nokogiri::Decorators::Slop.method_missing
  0.09    10.40      0.01     2446     0.00     0.00  String#to_s
  0.09    10.41      0.01      980     0.01     0.01  Kernel.respond_to_missing?
  0.09    10.42      0.01      276     0.04     0.29  Gem::Version#segments
  0.09    10.43      0.01      274     0.04     0.04  Fixnum#<=
  0.09    10.44      0.01      365     0.03     0.03  Array#first
