59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 18.91     0.45      0.45      337     1.34     8.19  Array#each
  6.30     0.60      0.15     7428     0.02     0.02  Kernel.===
  4.20     0.70      0.10      135     0.74     9.78  Gem::Specification#initialize
  3.78     0.79      0.09     1010     0.09     0.28  Numeric#divmod
  3.36     0.87      0.08     1011     0.08     0.49  Object#round
  2.94     0.94      0.07      135     0.52    10.30  Kernel.eval
  2.52     1.00      0.06      912     0.07     0.12  Gem::Version#initialize
  2.52     1.06      0.06      338     0.18     0.71  Gem::Dependency#initialize
  2.52     1.12      0.06      277     0.22     0.22  String#scan
  2.10     1.17      0.05     2020     0.02     0.03  Rational#floor
  2.10     1.22      0.05     1010     0.05     0.07  Object#find_conversion
  2.10     1.27      0.05       73     0.68     3.29  Kernel.gem_original_require
  2.10     1.32      0.05      506     0.10     0.38  Gem::Requirement#initialize
  1.68     1.36      0.04      953     0.04     0.05  Numeric#nonzero?
  1.68     1.40      0.04     2431     0.02     0.02  Kernel.initialize_dup
  1.68     1.44      0.04     1010     0.04     0.07  Numeric#div
  1.68     1.48      0.04      135     0.30    10.74  Gem::Specification#load
  1.68     1.52      0.04     1010     0.04     0.06  Rational#-
  1.26     1.55      0.03      507     0.06     0.20  Gem::Requirement#parse
  1.26     1.58      0.03     2020     0.01     0.01  Fixnum#fdiv
  1.26     1.61      0.03      337     0.09     0.86  Gem::Specification#add_dependency_with_type
  1.26     1.64      0.03     2356     0.01     0.01  Hash#[]
  1.26     1.67      0.03      325     0.09     0.25  Array#map
  1.26     1.70      0.03        1    30.00    30.00  Marshal.load
  1.26     1.73      0.03      504     0.06     0.34  Gem::Requirement#create
  1.26     1.76      0.03     5088     0.01     0.01  Fixnum#div
  1.26     1.79      0.03     1010     0.03     0.07  Rational#==
  0.84     1.81      0.02     1010     0.02     0.03  Rational#<=>
  0.84     1.83      0.02      135     0.15     0.15  Time#local
  0.84     1.85      0.02     1185     0.02     0.02  String#=~
  0.84     1.87      0.02     1010     0.02     0.05  Comparable.>
  0.84     1.89      0.02      136     0.15     0.22  Gem::Specification#full_gem_path
  0.84     1.91      0.02     1901     0.01     1.84  Class#new
  0.84     1.93      0.02    11001     0.00     0.00  Module#===
  0.84     1.95      0.02     4455     0.00     0.00  Kernel.instance_variable_set
  0.84     1.97      0.02      912     0.02     0.05  Gem::Version#correct?
  0.84     1.99      0.02      135     0.15     4.74  Gem::Specification#assign_defaults
  0.84     2.01      0.02     2020     0.01     0.02  Rational#to_f
  0.42     2.02      0.01     2026     0.00     0.00  Rational#/
  0.42     2.03      0.01     3054     0.00     0.01  Fixnum#*
  0.42     2.04      0.01      984     0.01     0.01  Kernel.respond_to_missing?
  0.42     2.05      0.01        2     5.00   745.00  Gem.source_index
  0.42     2.06      0.01      366     0.03     0.03  Array#first
  0.42     2.07      0.01      417     0.02     0.02  Array#<<
  0.42     2.08      0.01      140     0.07     0.93  Gem::Version#<=>
  0.42     2.09      0.01     2696     0.00     0.00  Fixnum#==
  0.42     2.10      0.01      954     0.01     0.01  String#<=>
  0.42     2.11      0.01      270     0.04     0.04  String#gsub
  0.42     2.12      0.01     2431     0.00     0.02  Kernel.dup
  0.42     2.13      0.01      953     0.01     0.01  Fixnum#zero?
  0.42     2.14      0.01     1248     0.01     0.01  String#to_i
  0.42     2.15      0.01      132     0.08     0.08  Gem::Specification#authors=
  0.42     2.16      0.01        1    10.00    70.00  Array#sort
  0.42     2.17      0.01      752     0.01     0.01  Kernel.respond_to?
  0.42     2.18      0.01      305     0.03     0.03  Kernel.object_id
  0.42     2.19      0.01       80     0.13     0.13  Gem::Specification#rdoc_options=
  0.42     2.20      0.01      506     0.02     0.04  Array#==
  0.42     2.21      0.01     1441     0.01     0.01  Kernel.class
  0.42     2.22      0.01      137     0.07     0.07  IO#read
  0.42     2.23      0.01     1470     0.01     0.01  Regexp#=~
  0.42     2.24      0.01      781     0.01     0.01  Fixnum#+
  0.42     2.25      0.01      272     0.04     0.04  File#dirname
  0.42     2.26      0.01     1621     0.01     0.01  Array#initialize_copy
  0.42     2.27      0.01       20     0.50     0.50  Nokogiri::XML::XPathContext#evaluate
  0.42     2.28      0.01     1010     0.01     0.01  Rational#coerce
  0.42     2.29      0.01      506     0.02     0.24  Array#map!
  0.42     2.30      0.01     1031     0.01     0.01  Module#method_added
  0.42     2.31      0.01       75     0.13     0.13  Class#inherited
  0.42     2.32      0.01     7158     0.00     0.00  BasicObject#==
  0.42     2.33      0.01     1011     0.01     0.01  Fixnum#/
  0.42     2.34      0.01       73     0.14     0.14  Gem.unresolved_deps
  0.42     2.35      0.01      135     0.07     0.07  Kernel.binding
  0.42     2.36      0.01      136     0.07     0.07  IO#set_encoding
  0.42     2.37      0.01       21     0.48     0.48  Gem::Specification#attribute
  0.42     2.38      0.01     2456     0.00     0.00  String#to_s
  0.00     2.38      0.00       10     0.00     0.00  Kernel.Rational
  0.00     2.38      0.00       14     0.00     0.00  Gem::Specification#overwrite_accessor
  0.00     2.38      0.00        3     0.00     0.00  ENV.[]
  0.00     2.38      0.00        5     0.00     0.00  Array#compact
  0.00     2.38      0.00       16     0.00     0.00  String#split
  0.00     2.38      0.00        1     0.00     0.00  Gem.set_home
  0.00     2.38      0.00        1     0.00     0.00  Gem.dir
  0.00     2.38      0.00        1     0.00     0.00  Gem.set_paths
  0.00     2.38      0.00        1     0.00     0.00  Gem.path
  0.00     2.38      0.00      224     0.00     0.00  File#join
  0.00     2.38      0.00        2     0.00     0.00  Array#collect
  0.00     2.38      0.00        1     0.00     0.00  Gem::SourceIndex#installed_spec_directories
  0.00     2.38      0.00       70     0.00     0.00  Hash#each
  0.00     2.38      0.00        1     0.00     0.00  Gem::SourceIndex#initialize
  0.00     2.38      0.00        1     0.00     0.00  Hash#clear
  0.00     2.38      0.00        1     0.00     0.00  Dir#glob
  0.00     2.38      0.00      137     0.00     0.00  File#file?
  0.00     2.38      0.00      540     0.00     0.00  String#initialize_copy
  0.00     2.38      0.00       14     0.00     0.00  Module#method_removed
  0.00     2.38      0.00        5     0.00     0.00  Gem::Specification#attribute_alias_singular
  0.00     2.38      0.00      272     0.00     0.00  Kernel.untaint
  0.00     2.38      0.00       24     0.00     0.00  Module#define_method
  0.00     2.38      0.00        1     0.00     0.00  Gem::Specification#read_only
  0.00     2.38      0.00       10     0.00     0.00  Gem::Specification#array_attribute
  0.00     2.38      0.00       10     0.00     0.00  Module#module_eval
  0.00     2.38      0.00        7     0.00     0.00  Gem::Requirement#default
  0.00     2.38      0.00      912     0.00     0.00  String#strip!
  0.00     2.38      0.00      270     0.00     0.00  Kernel.initialize_copy
  0.00     2.38      0.00      959     0.00     0.00  Array#empty?
  0.00     2.38      0.00      136     0.00     0.00  Kernel.block_given?
  0.00     2.38      0.00      507     0.00     0.00  Array#uniq!
  0.00     2.38      0.00      135     0.00     0.15  Gem::Version#create
  0.00     2.38      0.00      135     0.00     0.00  Gem::Version#prerelease?
  0.00     2.38      0.00      506     0.00     0.00  Array#compact!
  0.00     2.38      0.00      591     0.00     0.00  Kernel.Array
  0.00     2.38      0.00      863     0.00     0.00  Array#flatten
  0.00     2.38      0.00       12     0.00     0.00  NilClass#nil?
  0.00     2.38      0.00        7     0.00     0.00  Gem::Specification#required_attribute
  0.00     2.38      0.00      135     0.00     0.00  Gem::Specification#files=
  0.00     2.38      0.00      135     0.00     0.00  String#strip
  0.00     2.38      0.00      329     0.00     0.00  Hash#[]=
  0.00     2.38      0.00       77     0.00     0.00  Gem::Specification#test_files=
  0.00     2.38      0.00      415     0.00     0.00  String#==
  0.00     2.38      0.00      171     0.00     0.00  Kernel.nil?
  0.00     2.38      0.00      278     0.00     0.36  Gem::Version#segments
  0.00     2.38      0.00      278     0.00     0.00  Array#size
  0.00     2.38      0.00      141     0.00     0.00  Fixnum#>
  0.00     2.38      0.00      276     0.00     0.00  Fixnum#<=
  0.00     2.38      0.00      555     0.00     0.00  Array#[]
  0.00     2.38      0.00       31     0.00     0.00  String#intern
  0.00     2.38      0.00      231     0.00     0.00  Symbol#to_s
  0.00     2.38      0.00      135     0.00     0.96  Comparable.>=
  0.00     2.38      0.00       14     0.00     0.00  Module#private
  0.00     2.38      0.00        1     0.00     0.00  Time#-
  0.00     2.38      0.00     1161     0.00     0.00  Fixnum#-
  0.00     2.38      0.00      271     0.00     0.00  Gem::Specification#full_name
  0.00     2.38      0.00      135     0.00     0.00  Gem::SourceIndex#add_spec
  0.00     2.38      0.00        8     0.00     0.00  Gem::Specification#requirements=
  0.00     2.38      0.00        1     0.00     0.00  Module#attr_writer
  0.00     2.38      0.00      380     0.00     0.00  Array#last
  0.00     2.38      0.00      337     0.00     0.00  Array#pop
  0.00     2.38      0.00      362     0.00     0.00  Array#length
  0.00     2.38      0.00      149     0.00     0.00  Symbol#==
  0.00     2.38      0.00      359     0.00     0.00  Array#include?
  0.00     2.38      0.00        1     0.00     0.00  Fixnum#%
  0.00     2.38      0.00      338     0.00     0.00  Gem::Specification#dependencies
  0.00     2.38      0.00        1     0.00     0.00  Time#gmt_offset
  0.00     2.38      0.00      123     0.00     1.06  Gem::Specification#add_runtime_dependency
  0.00     2.38      0.00       86     0.00     0.00  Gem::Specification#extra_rdoc_files=
  0.00     2.38      0.00      136     0.00     0.00  Bignum#<=>
  0.00     2.38      0.00      214     0.00     0.75  Gem::Specification#add_development_dependency
  0.00     2.38      0.00       45     0.00     0.00  Gem::Specification#executables=
  0.00     2.38      0.00       22     0.00     0.00  Gem::Specification#extensions=
  0.00     2.38      0.00        6     0.00     0.00  Gem::Specification#licenses=
  0.00     2.38      0.00       11     0.00     0.00  String#===
  0.00     2.38      0.00        2     0.00     0.00  Array#shift
  0.00     2.38      0.00        8     0.00     0.00  Regexp#===
  0.00     2.38      0.00        2     0.00     0.00  Gem::Platform#initialize
  0.00     2.38      0.00        2     0.00     0.00  Gem::Platform#new
  0.00     2.38      0.00        3     0.00     0.00  Gem::Platform#to_a
  0.00     2.38      0.00        3     0.00     0.00  Gem::Platform#to_s
  0.00     2.38      0.00        2     0.00     0.00  Gem::Platform#==
  0.00     2.38      0.00        2     0.00     0.00  String#to_str
  0.00     2.38      0.00        1     0.00  1460.00  Array#reverse_each
