59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 11.38     0.28      0.28      353     0.79     7.42  Array#each
  5.28     0.41      0.13       82     1.59     5.00  Kernel.gem_original_require
  4.47     0.52      0.11      139     0.79     1.51  Gem::Version#<=>
  4.07     0.62      0.10      907     0.11     0.21  Gem::Version#initialize
  4.07     0.72      0.10      134     0.75    10.60  Kernel.eval
  3.66     0.81      0.09     7373     0.01     0.02  Kernel.===
  3.66     0.90      0.09      134     0.67     9.85  Gem::Specification#initialize
  2.85     0.97      0.07     1010     0.07     0.08  Rational#-
  2.85     1.04      0.07      336     0.21     0.92  Gem::Specification#add_dependency_with_type
  2.44     1.10      0.06     1011     0.06     0.47  Object#round
  2.44     1.16      0.06     1010     0.06     0.26  Numeric#divmod
  2.44     1.22      0.06      337     0.18     0.71  Gem::Dependency#initialize
  2.44     1.28      0.06     7105     0.01     0.01  BasicObject#==
  2.03     1.33      0.05     2413     0.02     0.03  Kernel.initialize_dup
  2.03     1.38      0.05     2020     0.02     0.02  Rational#to_f
  2.03     1.43      0.05     1010     0.05     0.07  Numeric#div
  1.63     1.47      0.04     1010     0.04     0.06  Object#find_conversion
  1.63     1.51      0.04     3151     0.01     0.02  Fixnum#*
  1.63     1.55      0.04      907     0.04     0.08  Gem::Version#correct?
  1.63     1.59      0.04    10928     0.00     0.00  Module#===
  1.63     1.63      0.04      323     0.12     0.22  Array#map
  1.63     1.67      0.04      502     0.08     0.34  Gem::Requirement#create
  1.22     1.70      0.03      504     0.06     0.42  Gem::Requirement#initialize
  1.22     1.73      0.03     5114     0.01     0.01  Fixnum#div
  1.22     1.76      0.03      944     0.03     0.03  Numeric#nonzero?
  1.22     1.79      0.03     2020     0.01     0.02  Rational#floor
  0.81     1.81      0.02     1894     0.01     1.88  Class#new
  0.81     1.83      0.02     2413     0.01     0.04  Kernel.dup
  0.81     1.85      0.02     1010     0.02     0.02  Float#<=>
