59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 15.86     0.56      0.56        1   560.00  1730.00  IO#foreach
  8.50     0.86      0.30      352     0.85     6.19  Array#each
  5.10     1.04      0.18     1032     0.17     0.33  Rational#convert
  4.53     1.20      0.16     7373     0.02     0.02  Kernel.===
  3.40     1.32      0.12       82     1.46     4.63  Kernel.gem_original_require
  3.12     1.43      0.11    10928     0.01     0.01  Module#===
  2.83     1.53      0.10    13047     0.01     0.01  String#split
  2.55     1.62      0.09     1010     0.09     0.23  Numeric#divmod
  2.27     1.70      0.08      134     0.60    10.07  Gem::Specification#initialize
  2.27     1.78      0.08    10001     0.01     0.01  String#chomp
  2.27     1.86      0.08      134     0.60    10.67  Kernel.eval
  1.70     1.92      0.06     1011     0.06     0.54  Object#round
  1.70     1.98      0.06     1010     0.06     0.08  Numeric#div
  1.42     2.03      0.05     1178     0.04     0.04  String#=~
  1.42     2.08      0.05      504     0.10     0.40  Gem::Requirement#initialize
  1.42     2.13      0.05     2413     0.02     0.03  Kernel.dup
  1.42     2.18      0.05     1005     0.05     0.06  Rational#+
  1.42     2.23      0.05     1010     0.05     0.11  Rational#==
  1.42     2.28      0.05     1010     0.05     0.05  Rational#-
  1.42     2.33      0.05     2020     0.02     0.02  Fixnum#fdiv
  1.13     2.37      0.04     2020     0.02     0.04  Rational#to_f
  1.13     2.41      0.04     1894     0.02     1.83  Class#new
  1.13     2.45      0.04     1032     0.04     0.37  Kernel.Rational
  1.13     2.49      0.04      907     0.04     0.13  Gem::Version#initialize
  1.13     2.53      0.04     4422     0.01     0.01  Kernel.instance_variable_set
  1.13     2.57      0.04        1    40.00    60.00  Array#sort
  1.13     2.61      0.04      139     0.29     0.86  Gem::Version#<=>
  1.13     2.65      0.04     1010     0.04     0.13  Comparable.>
  1.13     2.69      0.04    10414     0.00     0.00  String#==
  0.85     2.72      0.03     3045     0.01     0.01  Rational#*
  0.85     2.75      0.03      505     0.06     0.24  Gem::Requirement#parse
  0.85     2.78      0.03      337     0.09     0.47  Gem::Dependency#initialize
  0.85     2.81      0.03      504     0.06     0.30  Array#map!
  0.85     2.84      0.03      134     0.22    10.90  Gem::Specification#load
  0.85     2.87      0.03      275     0.11     0.11  String#scan
  0.85     2.90      0.03    10131     0.00     0.00  Fixnum#div
  0.85     2.93      0.03     3259     0.01     0.01  String#to_i
  0.85     2.96      0.03     1010     0.03     0.09  Rational#<=>
  0.57     2.98      0.02     2443     0.01     0.01  String#to_s
  0.57     3.00      0.02     1010     0.02     0.02  Float#<=>
  0.57     3.02      0.02      336     0.06     0.63  Gem::Specification#add_dependency_with_type
  0.57     3.04      0.02     1022     0.02     0.02  String#to_sym
  0.57     3.06      0.02     7105     0.00     0.00  BasicObject#==
  0.57     3.08      0.02      135     0.15     0.15  Gem::Specification#full_gem_path
  0.57     3.10      0.02     2413     0.01     0.01  Kernel.initialize_dup
  0.57     3.12      0.02      502     0.04     0.28  Gem::Requirement#create
  0.57     3.14      0.02      213     0.09     0.85  Gem::Specification#add_development_dependency
  0.57     3.16      0.02      323     0.06     0.09  Array#map
  0.57     3.18      0.02      588     0.03     0.03  Kernel.Array
  0.57     3.20      0.02      944     0.02     0.02  Numeric#nonzero?
  0.57     3.22      0.02     1010     0.02     0.02  Object#find_conversion
  0.28     3.23      0.01     2693     0.00     0.00  Fixnum#==
  0.28     3.24      0.01     2020     0.00     0.00  Rational#floor
  0.28     3.25      0.01     1011     0.01     0.01  Float#==
  0.28     3.26      0.01     3151     0.00     0.01  Fixnum#*
  0.28     3.27      0.01     3037     0.00     0.00  Rational#/
  0.28     3.28      0.01      134     0.07     4.78  Gem::Specification#assign_defaults
  0.28     3.29      0.01      269     0.04     0.07  Gem::Specification#full_name
  0.28     3.30      0.01      134     0.07     0.22  Gem::Version#create
  0.28     3.31      0.01      860     0.01     0.01  Array#flatten
  0.28     3.32      0.01      748     0.01     0.01  Kernel.respond_to?
  0.28     3.33      0.01      276     0.04     0.22  Gem::Version#segments
  0.28     3.34      0.01     1609     0.01     0.01  Array#initialize_copy
  0.28     3.35      0.01      361     0.03     0.03  Array#length
  0.28     3.36      0.01      337     0.03     0.03  Gem::Specification#dependencies
  0.28     3.37      0.01      956     0.01     0.01  Array#empty?
  0.28     3.38      0.01      123     0.08     0.49  Gem::Specification#add_runtime_dependency
  0.28     3.39      0.01      148     0.07     0.07  IO#set_encoding
  0.28     3.40      0.01      134     0.07     0.22  Gem::GemPathSearcher#lib_dirs_for
  0.28     3.41      0.01      907     0.01     0.01  String#strip!
  0.28     3.42      0.01       20     0.50     0.50  Nokogiri::XML::Node#xpath
  0.28     3.43      0.01       20     0.50     0.50  Nokogiri::XML::NodeSet#empty?
  0.28     3.44      0.01      273     0.04     0.04  Fixnum#<=>
  0.28     3.45      0.01     1461     0.01     0.01  Regexp#=~
  0.28     3.46      0.01       85     0.12     0.12  Gem::GemPathSearcher#matching_files
  0.28     3.47      0.01     1547     0.01     0.01  Module#method_added
  0.28     3.48      0.01       31     0.32     0.32  Module#define_method
  0.28     3.49      0.01       66     0.15     0.15  Module#module_eval
  0.28     3.50      0.01      907     0.01     0.08  Gem::Version#correct?
  0.28     3.51      0.01     1016     0.01     0.01  Regexp#match
  0.28     3.52      0.01     1020     0.01     0.01  Fixnum#**
  0.28     3.53      0.01     3048     0.00     0.00  MatchData#[]
  0.00     3.53      0.00       19     0.00     0.00  Symbol#to_sym
  0.00     3.53      0.00        7     0.00     0.00  Gem::Specification#required_attribute
  0.00     3.53      0.00      327     0.00     0.00  Hash#[]=
  0.00     3.53      0.00      504     0.00     0.00  Array#compact!
  0.00     3.53      0.00      505     0.00     0.00  Array#uniq!
  0.00     3.53      0.00       31     0.00     0.00  String#intern
  0.00     3.53      0.00      980     0.00     0.00  Kernel.respond_to_missing?
  0.00     3.53      0.00      504     0.00     0.00  Array#==
  0.00     3.53      0.00     1434     0.00     0.00  Kernel.class
  0.00     3.53      0.00      416     0.00     0.00  Array#<<
  0.00     3.53      0.00      365     0.00     0.00  Array#first
  0.00     3.53      0.00        1     0.00     0.00  Time#-
  0.00     3.53      0.00     1160     0.00     0.00  Fixnum#-
  0.00     3.53      0.00        1     0.00     0.00  Fixnum#%
  0.00     3.53      0.00        1     0.00     0.00  Time#gmt_offset
  0.00     3.53      0.00      135     0.00     0.00  Bignum#<=>
  0.00     3.53      0.00        1     0.00     0.00  Time#at
  0.00     3.53      0.00        2     0.00     0.00  Time#to_i
  0.00     3.53      0.00        7     0.00     1.43  Gem::Requirement#default
  0.00     3.53      0.00       10     0.00     0.00  Gem::Specification#array_attribute
  0.00     3.53      0.00        1     0.00     0.00  Gem::Specification#read_only
  0.00     3.53      0.00        5     0.00     0.00  Gem::Specification#attribute_alias_singular
  0.00     3.53      0.00       14     0.00     0.00  Module#method_removed
  0.00     3.53      0.00       14     0.00     0.00  Module#remove_method
  0.00     3.53      0.00       14     0.00     0.00  Gem::Specification#overwrite_accessor
  0.00     3.53      0.00        3     0.00     0.00  ENV.[]
  0.00     3.53      0.00        5     0.00     0.00  Array#compact
  0.00     3.53      0.00      137     0.00     0.00  Fixnum#divmod
  0.00     3.53      0.00        1     0.00     0.00  Gem.set_home
  0.00     3.53      0.00        1     0.00     0.00  Gem.dir
  0.00     3.53      0.00        1     0.00     0.00  Gem.set_paths
  0.00     3.53      0.00        1     0.00     0.00  Gem.path
  0.00     3.53      0.00      223     0.00     0.00  File#join
  0.00     3.53      0.00        2     0.00     0.00  Array#collect
  0.00     3.53      0.00        1     0.00     0.00  Gem::SourceIndex#installed_spec_directories
  0.00     3.53      0.00       70     0.00     0.00  Hash#each
